Location;/homec/gsp15/gsp1514/pfasst-analysis/para-vs-intel/trace_4_intelpara/trace/traces.otf2;
Number of Processes;4;
ClkPeriod/sec;1000000000
StartTime[Clk];0
StopTime[Clk];3031267061
Type;Function Summary;

Function;Function Group;Calls;excTime[Clk];incTime[Clk];excAvg[Clk];incAvg[Clk];
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_fine;Application;16;71121;572545;4445.0625;35784.0625;
pfasst::comm::MpiP2P::isend;Application;12;169201;422209;14100.0833333333;35184.0833333333;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::advance_iteration;Application;16;1805022891.73333;4431664699.73333;112813930.733333;276979043.733333;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_check_prev_status;Application;16;676991;2625987634;42311.9375;164124227.125;
pfasst::comm::MpiP2P::is_first;Application;62;66834;100286;1077.96774193548;1617.51612903226;
pfasst::comm::Communicator::get_root;Application;62;18636;18636;300.58064516129;300.58064516129;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_status;Application;15;62885;577688;4192.33333333333;38512.5333333333;
pfasst::comm::MpiP2P::isend_status;Application;12;72027;456573;6002.25;38047.75;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::cycle_down;Application;13;1306817441;1306880632;100524418.538462;100529279.384615;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::recv_coarse;Application;19;130477;172081462;6867.21052631579;9056919.05263158;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::sweep_coarse;coarse;19;814580315;814665303;42872648.1578947;42877121.2105263;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::cycle_up;Application;12;1295005597;1295887568;107917133.083333;107990630.666667;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::recv_fine;Application;12;114755;862266;9562.91666666667;71855.5;
pfasst::comm::MpiP2P::recv;Application;24;45575;172310301;1898.95833333333;7179595.875;
pfasst::comm::MpiP2P::recv_status;Application;12;22996;2625235789;1916.33333333333;218769649.083333;
pfasst::comm::MpiP2P::probe;Application;9;31976;143418;3552.88888888889;15935.3333333333;

___ 50 records ___

